"pop","code","name","rho","spring","autumn","summer","winter","unknown","Notes","secchi","lat","lon","F261Y","I213T","Salinity","num_pop","Absorbance_412nm"
"H_Fehmarn_Baltic_Autumn","H_Fehmarn_Baltic_Autumn","HFehmarn","Y","","Y","",NA,NA,NA,6.627592046,54.470054,11.132927,0.070175439,0,19.0088423988621,21,0.814788404700443
"J_Träslövsläge_Kattegat_Spring","J_Traslovslage_Baltic_Spring","JTraslovslage","","Y","","",NA,NA,NA,8.426357127,57.05,12.183333,0.071428571,0.09375,27.987429955284,22,0.698935749205182
"N_NorthSea_Atlantic_Autumn","N_NorthSea_Atlantic_Autumn","NNorthSea","Y","","Y","",NA,NA,NA,9.059711456,58.1,6.166667,0,0,34.2209596615559,4,0.327027116768437
"O_Hamburgsund_Atlantic_Spring","O_Hamburgsund_Atlantic_Spring","OHamburgsund","Y","Y","","",NA,NA,NA,9.059711456,58.5,11.216667,0,0,31.6522889092393,5,0.561927894677296
"PB10_Skagerrak_Atlantic_Spring","PB10_Skagerrak_Atlantic_Spring","Skagerrak","Y","Y","","",NA,NA,NA,9.059711456,58.316667,11.35,0,0,31.3836444716139,6,0.563927386602836
"PB11_Kalmar_Baltic_Spring","PB11_Kalmar_Baltic_Spring","Kalmar","Y","Y","","",NA,NA,NA,5.828252579,57.65,17.12,0.65625,0.444444444,6.79998389696506,28,0.906399374539198
"PB12_Karlskrona_Baltic_Spring","PB12_Karlskrona_Baltic_Spring","Karlskrona","Y","Y","","",NA,NA,NA,6.346214041,56.161224,15.5869,0.744186047,0.368421053,8.01810041592221,30,0.719125039539161
"PB1_Hästskär_Baltic_Spring","PB1_Hastskor_Baltic_Spring","Hastskar","Y","Y","","",NA,NA,NA,5.149758234,60.532414,17.739702,1,0.548387097,5.40433687246321,38,0.980966353886375
"PB2_Iceland_Atlantic_Spring","PB2_Iceland_Atlantic_Spring","Iceland","Y","Y","","",NA,NA,NA,9.059711456,65.816667,-12.966667,0,0,34.8622962797705,7,0.209667390143964
"PB4_Hudiksvall_Baltic_Spring","PB4_Hudiksvall_Baltic_Spring","Hudiksvall","Y","Y","","",NA,NA,NA,5.703583527,61.727391,17.107401,0.553191489,0.181818182,5.14708714773719,27,0.975204964048438
"PB5_Gävle_Baltic_Spring","PB5_Gavle_Baltic_Spring","Gavle","Y","Y","","",NA,NA,NA,5.255448856,60.68293,17.178326,0.771428571,0.46875,5.26291175959434,32,0.99097323193586
"PB6_Gävle_Baltic_Summer","PB6_Gavle_Baltic_Summer","Gavle","Y","","","Y",NA,NA,NA,5.255448856,60.68293,17.178326,0.657142857,0.557692308,5.26291175959434,29,0.99097323193586
"PB7_Gävle_Baltic_Autumn","PB7_Gavle_Baltic_Autumn","Gavle","Y","","Y","",NA,NA,NA,5.255448856,60.68293,17.178326,0.260869565,0,5.26291175959434,24,0.99097323193586
"PB8_Pacific_Pacific_Spring","PB8_Pacific_Pacific_Spring","Pacific","","","","",NA,NA,NA,NA,66.3975,34.267634,0,0,NA,8,0.571470772991065
"PB9_Kattegat_Atlantic_Spring","PB9_Kattegat_Atlantic_Spring","Kattegat","Y","Y","","",NA,NA,NA,8.677869841,57.716667,11.7,0,0,30.7022281069008,9,0.625274291705518
"PN3_CentralBaltic_Baltic_Spring","PN3_CentralBaltic_Baltic_Spring","CentralBaltic","Y","Y","","",NA,NA,NA,6.386556905,55.4,15.85,0.763157895,0.483870968,7.80682534281466,31,0.68794119489364
"Q_Norway_Atlantic_Atlantic_Spring","Q_Norway_Atlantic_Atlantic_Spring","QAtlantic_Norway","Y","Y","","",NA,NA,NA,9.059711456,64.87,6.25,0,0,34.9459994490424,10,0.196180487097355
"DalBoB_Atlantic_Autumn","Canadian_Atlantic_1","DalBob","Y","","Y","",NA,NA,NA,9.059711456,48.816667,-53.333333,0,0,32.4862674414914,11,0.250315386812803
"DalFB_Atlantic_Spring","Canadian_Atlantic_2","DalFB","Y","Y","","",NA,NA,NA,9.059711456,47.283333,-55.633333,0,0,31.9093022389676,12,0.236839738149347
"DalGeB_Atlantic_Autumn","Canadian_Atlantic_3","DalGeB","Y","","Y","",NA,NA,NA,9.059711456,43.266667,-66.3,0,0,32.0266254403596,13,0.308056611688985
"DalInB_Atlantic_Spring","Canadian_Atlantic_4","DalInB","Y","Y","","",NA,NA,NA,9.059711456,48,-65.85,0,0,29.1156770627519,14,0.722010508641391
"DalNsF_Atlantic_Autumn","Canadian_Atlantic_5","DalNsF","Y","","Y","",NA,NA,NA,9.059711456,45.733333,-62.6,0,0,29.8733901536126,15,0.734569827532076
"DalNsS_Atlantic_Spring","Canadian_Atlantic_6","DalNsS","Y","Y","","",NA,NA,NA,9.059711456,46.316667,-64.15,0,0,29.3882840533071,16,0.797595635756769
